,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
44,44,1.0719164609909058,2023-06-21 03:48:14.088128,2023-06-21 03:48:34.989960,0 days 00:00:20.901832,,0.1,0.003423427589900356,8,79,0.001,COMPLETE
32,32,1.0719209909439087,2023-06-21 03:36:35.214024,2023-06-21 03:37:17.022883,0 days 00:00:41.808859,,0.1,0.002128371715427715,12,61,1e-09,COMPLETE
49,49,1.0719598531723022,2023-06-21 04:02:34.942986,2023-06-21 04:04:07.746217,0 days 00:01:32.803231,,0.1,0.0009046779723240671,9,117,0.001,COMPLETE
97,97,1.072022795677185,2023-06-21 05:48:11.318872,2023-06-21 05:50:55.596191,0 days 00:02:44.277319,,0.3,0.00012686460592688684,6,154,1e-05,COMPLETE
104,104,1.072081208229065,2023-06-21 06:13:04.291681,2023-06-21 06:15:13.180259,0 days 00:02:08.888578,,0.3,0.0002684558216339405,5,134,0.001,COMPLETE
57,57,1.0721101760864258,2023-06-21 04:14:08.901785,2023-06-21 04:15:17.991505,0 days 00:01:09.089720,,0.1,0.006108695094821464,8,116,0.001,COMPLETE
95,95,1.0721184015274048,2023-06-21 05:43:54.566845,2023-06-21 05:45:56.294634,0 days 00:02:01.727789,,0.3,0.0005163528705260563,5,169,1e-07,COMPLETE
93,93,1.072153091430664,2023-06-21 05:37:06.621643,2023-06-21 05:39:15.544646,0 days 00:02:08.923003,,0.3,0.0002532791128500956,5,162,0.001,COMPLETE
68,68,1.0722047090530396,2023-06-21 04:31:34.963375,2023-06-21 04:32:29.500884,0 days 00:00:54.537509,,0.1,0.0026590980232094326,7,71,0.0,COMPLETE
69,69,1.0722416639328003,2023-06-21 04:32:29.503585,2023-06-21 04:34:06.423664,0 days 00:01:36.920079,,0.1,0.004446930430469452,9,127,1e-05,COMPLETE
28,28,1.0722554922103882,2023-06-21 03:32:16.557893,2023-06-21 03:32:40.331315,0 days 00:00:23.773422,,0.1,0.002195857385196358,10,65,1e-09,COMPLETE
24,24,1.0722784996032715,2023-06-21 03:30:27.581145,2023-06-21 03:30:52.782403,0 days 00:00:25.201258,,0.1,0.001528204370928849,11,44,1e-09,COMPLETE
36,36,1.0722880363464355,2023-06-21 03:39:06.680580,2023-06-21 03:39:39.135947,0 days 00:00:32.455367,,0.15,0.00030247131907829933,12,206,0.0001,COMPLETE
25,25,1.0724247694015503,2023-06-21 03:30:52.787752,2023-06-21 03:31:18.002871,0 days 00:00:25.215119,,0.1,0.00042533675799906175,11,106,1e-09,COMPLETE
80,80,1.0724679231643677,2023-06-21 05:02:15.119872,2023-06-21 05:05:55.109171,0 days 00:03:39.989299,,0.2,0.0004002501865807486,19,92,1e-06,COMPLETE
65,65,1.0725113153457642,2023-06-21 04:26:37.396428,2023-06-21 04:27:53.466090,0 days 00:01:16.069662,,0.1,0.0006254746411134634,7,110,1e-06,COMPLETE
37,37,1.0725717544555664,2023-06-21 03:39:39.140899,2023-06-21 03:40:09.614911,0 days 00:00:30.474012,,0.1,0.000815557281843519,16,256,0.0,COMPLETE
106,106,1.0726687908172607,2023-06-21 06:19:03.793264,2023-06-21 06:23:22.127116,0 days 00:04:18.333852,,0.3,0.0001431889337044722,6,175,0.001,COMPLETE
39,39,1.072751522064209,2023-06-21 03:40:52.697289,2023-06-21 03:42:56.098085,0 days 00:02:03.400796,,0.35,6.486913871981556e-05,7,159,1e-08,COMPLETE
54,54,1.0727816820144653,2023-06-21 04:09:31.081575,2023-06-21 04:10:57.515513,0 days 00:01:26.433938,,0.4,0.0034791635376185365,7,140,0.001,COMPLETE
23,23,1.07279372215271,2023-06-21 03:30:06.385147,2023-06-21 03:30:27.577317,0 days 00:00:21.192170,,0.1,0.0006354346311876673,13,114,1e-09,COMPLETE
