,number,value,datetime_start,datetime_complete,duration,params_clipnorm,params_dropout_rate,params_lr,params_n_layers,params_n_units,params_weight_decay,state
24,24,1.0754523277282715,2023-06-21 12:47:41.204640,2023-06-21 12:47:50.490321,0 days 00:00:09.285681,,0.25,0.008386128885725893,5,90,1e-05,COMPLETE
37,37,1.0758824348449707,2023-06-21 12:57:09.428839,2023-06-21 12:58:55.517805,0 days 00:01:46.088966,,0.3,6.872974526796435e-05,8,108,1e-07,COMPLETE
87,87,1.0766924619674683,2023-06-21 14:14:43.112043,2023-06-21 14:15:46.820704,0 days 00:01:03.708661,,0.3,0.006604139401667702,8,104,0.0001,COMPLETE
56,56,1.0773987770080566,2023-06-21 13:14:31.318802,2023-06-21 13:15:53.762079,0 days 00:01:22.443277,,0.3,0.0001962811014283189,13,122,0.0,COMPLETE
90,90,1.0775530338287354,2023-06-21 14:17:37.138710,2023-06-21 14:21:52.325459,0 days 00:04:15.186749,,0.1,6.936834105096911e-06,5,134,1e-08,COMPLETE
35,35,1.0776493549346924,2023-06-21 12:54:50.315187,2023-06-21 12:56:27.690601,0 days 00:01:37.375414,,0.35,2.76096826000934e-05,6,160,1e-06,COMPLETE
79,79,1.0792287588119507,2023-06-21 13:54:51.306927,2023-06-21 14:03:14.765160,0 days 00:08:23.458233,,0.3,2.2333156049505337e-06,5,137,0.0,COMPLETE
30,30,1.0792572498321533,2023-06-21 12:49:52.503878,2023-06-21 12:52:25.008620,0 days 00:02:32.504742,,0.25,2.3751599222776586e-05,11,104,1e-05,COMPLETE
2,2,1.079285979270935,2023-06-21 12:39:19.614741,2023-06-21 12:39:43.607215,0 days 00:00:23.992474,100.0,0.3,5.161483424890331e-05,6,155,1e-07,COMPLETE
14,14,1.0794026851654053,2023-06-21 12:43:57.770049,2023-06-21 12:44:15.747972,0 days 00:00:17.977923,0.1,0.25,0.0003099679408274086,9,116,1e-09,COMPLETE
0,0,1.0829973220825195,2023-06-21 12:38:29.216417,2023-06-21 12:39:07.710423,0 days 00:00:38.494006,100.0,0.2,5.049429183875918e-05,12,67,1e-05,COMPLETE
29,29,1.08308744430542,2023-06-21 12:48:44.092222,2023-06-21 12:49:52.500571,0 days 00:01:08.408349,,0.2,1.292709339613473e-05,14,70,1e-05,COMPLETE
13,13,1.083688497543335,2023-06-21 12:43:35.883084,2023-06-21 12:43:57.767888,0 days 00:00:21.884804,0.01,0.25,0.0006420247846377546,9,20,1e-09,COMPLETE
74,74,1.0837428569793701,2023-06-21 13:48:08.988460,2023-06-21 13:48:56.114652,0 days 00:00:47.126192,,0.4,0.004561574369465976,10,134,0.0,COMPLETE
85,85,1.0847049951553345,2023-06-21 14:11:33.199627,2023-06-21 14:12:30.713058,0 days 00:00:57.513431,,0.3,0.009768405904978983,7,127,0.0,COMPLETE
59,59,1.087888240814209,2023-06-21 13:17:10.279339,2023-06-21 13:18:06.190271,0 days 00:00:55.910932,,0.35,3.633655778884352e-05,11,157,1e-08,COMPLETE
9,9,1.0884944200515747,2023-06-21 12:42:07.462042,2023-06-21 12:42:35.582520,0 days 00:00:28.120478,0.01,0.15,4.189248019814335e-06,6,93,1e-06,COMPLETE
10,10,1.0892713069915771,2023-06-21 12:42:35.584797,2023-06-21 12:42:43.049463,0 days 00:00:07.464666,,0.4,0.006290902814762414,10,249,1e-08,COMPLETE
58,58,1.090532660484314,2023-06-21 13:16:36.558460,2023-06-21 13:17:10.277018,0 days 00:00:33.718558,,0.3,0.005935199065616086,12,91,1e-09,COMPLETE
15,15,1.0914430618286133,2023-06-21 12:44:15.752014,2023-06-21 12:44:25.704631,0 days 00:00:09.952617,,0.4,0.006437993055089106,12,190,1e-09,COMPLETE
40,40,1.094923734664917,2023-06-21 13:00:58.825408,2023-06-21 13:02:35.818764,0 days 00:01:36.993356,,0.35,8.221631059356518e-07,5,151,1e-05,COMPLETE
73,73,1.0984224081039429,2023-06-21 13:40:45.681919,2023-06-21 13:48:08.986260,0 days 00:07:23.304341,,0.3,1.0930315782244294e-07,9,115,0.0,COMPLETE
4,4,1.0985462665557861,2023-06-21 12:40:07.311763,2023-06-21 12:40:19.500670,0 days 00:00:12.188907,100.0,0.1,0.0023871298915555195,19,224,0.0,COMPLETE
20,20,1.0985528230667114,2023-06-21 12:46:30.925230,2023-06-21 12:46:40.641161,0 days 00:00:09.715931,,0.4,0.00012333277125721085,11,29,1e-08,COMPLETE
6,6,1.0986000299453735,2023-06-21 12:40:34.171315,2023-06-21 12:41:36.417172,0 days 00:01:02.245857,10.0,0.1,9.465860259274254e-08,18,210,0.0,COMPLETE
18,18,1.0986015796661377,2023-06-21 12:46:11.739503,2023-06-21 12:46:21.905372,0 days 00:00:10.165869,,0.4,1.8838395272768332e-08,14,176,0.001,COMPLETE
3,3,1.09860360622406,2023-06-21 12:39:43.608816,2023-06-21 12:40:07.308491,0 days 00:00:23.699675,1.0,0.35,1.0556480667741419e-05,19,164,0.0001,COMPLETE
19,19,1.0986099243164062,2023-06-21 12:46:21.907477,2023-06-21 12:46:30.922347,0 days 00:00:09.014870,,0.25,3.8863434774428997e-07,8,88,0.001,COMPLETE
5,5,1.0986106395721436,2023-06-21 12:40:19.502776,2023-06-21 12:40:34.169115,0 days 00:00:14.666339,100.0,0.15,1.5367827759508103e-06,20,200,0.0,COMPLETE
8,8,1.0986113548278809,2023-06-21 12:41:55.639230,2023-06-21 12:42:07.460005,0 days 00:00:11.820775,,0.4,6.322522766654979e-06,18,221,0.001,COMPLETE
1,1,1.0986121892929077,2023-06-21 12:39:07.714180,2023-06-21 12:39:19.612344,0 days 00:00:11.898164,1.0,0.35,2.9280491896098453e-06,15,65,0.001,COMPLETE
68,68,1.0991015434265137,2023-06-21 13:26:31.368628,2023-06-21 13:33:57.883923,0 days 00:07:26.515295,,0.3,1.133278003410477e-08,9,95,0.0,COMPLETE
